[2019-10-10 19:57:44,840] - logger.py] - INFO: 开始执行test_user006
[2019-10-10 19:57:45,158] - logger.py] - INFO: test_user006 pass
[2019-10-10 19:57:45,161] - logger.py] - INFO: 开始执行test_user007
[2019-10-10 19:57:45,363] - logger.py] - INFO: test_user007 pass
[2019-10-10 19:57:45,366] - logger.py] - INFO: 开始执行test_user008
[2019-10-10 19:57:45,679] - logger.py] - INFO: test_user008 pass
[2019-10-10 19:57:45,683] - logger.py] - INFO: 开始执行test_user009
[2019-10-10 19:57:45,808] - logger.py] - INFO: test_user009 pass
[2019-10-10 19:57:45,811] - logger.py] - INFO: 开始执行test_user012
[2019-10-10 19:57:45,914] - logger.py] - INFO: test_user012 pass
[2019-10-10 19:57:45,917] - logger.py] - INFO: 开始执行test_user013
[2019-10-10 19:57:46,032] - logger.py] - INFO: 开始执行test_user014
[2019-10-10 19:57:47,516] - logger.py] - INFO: test_user014 pass
[2019-10-10 19:57:47,516] - logger.py] - INFO: 开始执行test_user015
[2019-10-10 19:57:47,626] - logger.py] - INFO: 开始执行test_user016
[2019-10-10 19:57:47,704] - logger.py] - INFO: 开始执行test_user017
[2019-10-10 19:57:48,282] - logger.py] - INFO: 开始执行test_user018
[2019-10-10 19:57:51,068] - logger.py] - INFO: 开始执行test001
[2019-10-10 19:57:51,310] - logger.py] - INFO: test001 pass
[2019-10-10 19:57:51,310] - logger.py] - INFO: 开始执行test002
[2019-10-10 19:57:51,466] - logger.py] - INFO: 开始执行test003
[2019-10-10 19:57:51,732] - logger.py] - INFO: 开始执行test004
[2019-10-10 19:57:51,888] - logger.py] - INFO: test004 pass
[2019-10-10 19:57:51,888] - logger.py] - INFO: 开始执行test005
[2019-10-10 19:57:52,763] - logger.py] - INFO: test005 pass
[2019-10-10 19:57:52,763] - logger.py] - INFO: 开始执行test006
[2019-10-10 19:57:52,872] - logger.py] - INFO: test006 pass
[2019-10-10 19:57:52,872] - logger.py] - INFO: 开始执行test007
[2019-10-10 19:57:53,044] - logger.py] - INFO: test008 pass
[2019-10-10 19:57:53,044] - logger.py] - INFO: 开始执行test009
[2019-10-10 19:57:53,138] - logger.py] - INFO: test008 pass
[2019-10-10 19:57:53,138] - logger.py] - INFO: 开始执行test009
[2019-10-10 19:57:53,310] - logger.py] - INFO: 开始执行test010
[2019-10-10 19:57:53,466] - logger.py] - INFO: test010 pass
[2019-10-10 19:57:53,466] - logger.py] - INFO: 开始执行test012
[2019-10-10 19:57:53,591] - logger.py] - INFO: test011 pass
[2019-10-10 19:57:53,591] - logger.py] - INFO: 开始执行test012
[2019-10-10 19:57:55,104] - logger.py] - INFO: test012 pass
[2019-10-10 19:57:55,104] - logger.py] - INFO: 开始执行test013
[2019-10-10 19:57:55,420] - logger.py] - INFO: test013 pass
[2019-10-10 19:57:55,424] - logger.py] - INFO: 开始执行test014
[2019-10-10 19:57:55,521] - logger.py] - INFO: test014 pass
[2019-10-10 19:57:55,524] - logger.py] - INFO: 开始执行test015
[2019-10-10 19:57:55,660] - logger.py] - INFO: test015 pass
[2019-10-10 19:57:59,237] - logger.py] - INFO: 开始执行test001
[2019-10-10 19:57:59,348] - logger.py] - INFO: test001 pass
[2019-10-10 19:57:59,352] - logger.py] - INFO: 开始执行test002
[2019-10-10 19:57:59,466] - logger.py] - INFO: 开始执行test003
[2019-10-10 19:57:59,662] - logger.py] - INFO: 开始执行test004
[2019-10-10 19:57:59,974] - logger.py] - INFO: test004 pass
[2019-10-10 19:57:59,978] - logger.py] - INFO: 开始执行test005
[2019-10-10 19:58:00,642] - logger.py] - INFO: test005 pass
[2019-10-10 19:58:00,649] - logger.py] - INFO: 开始执行test006
[2019-10-10 19:58:00,869] - logger.py] - INFO: 开始执行test007
[2019-10-10 19:58:00,874] - logger.py] - INFO: 开始执行test008
[2019-10-10 19:58:00,882] - logger.py] - INFO: 开始执行test009
[2019-10-10 19:58:00,888] - logger.py] - INFO: 开始执行test010
[2019-10-10 19:58:01,029] - logger.py] - INFO: test_010 pass
[2019-10-10 19:59:52,228] - logger.py] - INFO: 开始执行test_001
[2019-10-10 19:59:52,490] - logger.py] - INFO: test_001 pass
[2019-10-10 19:59:52,494] - logger.py] - INFO: 开始执行test_002
[2019-10-10 19:59:52,684] - logger.py] - INFO: test_002 pass
[2019-10-10 19:59:52,687] - logger.py] - INFO: 开始执行test_003
[2019-10-10 19:59:52,836] - logger.py] - INFO: 开始执行test_004
[2019-10-10 19:59:52,993] - logger.py] - INFO: test_004 pass
[2019-10-10 19:59:52,997] - logger.py] - INFO: 开始执行test_005
[2019-10-10 19:59:53,126] - logger.py] - INFO: test_005 pass
[2019-10-10 19:59:53,129] - logger.py] - INFO: 开始执行test_006
[2019-10-10 19:59:53,227] - logger.py] - INFO: test_006 pass
[2019-10-10 19:59:53,231] - logger.py] - INFO: 开始执行test_007
[2019-10-10 19:59:53,386] - logger.py] - INFO: test_007 pass
[2019-10-10 19:59:53,389] - logger.py] - INFO: 开始执行test_008
[2019-10-10 19:59:54,194] - logger.py] - INFO: test_008 pass
[2019-10-10 19:59:54,198] - logger.py] - INFO: 开始执行test_009
[2019-10-10 19:59:54,419] - logger.py] - INFO: test_009 pass
[2019-10-10 19:59:54,422] - logger.py] - INFO: 开始执行test_010
[2019-10-10 19:59:54,621] - logger.py] - INFO: test_010 pass
[2019-10-10 19:59:54,624] - logger.py] - INFO: 开始执行test_011
[2019-10-10 19:59:54,729] - logger.py] - INFO: test_011 pass
[2019-10-10 19:59:57,530] - logger.py] - INFO: 开始执行test_001
[2019-10-10 19:59:57,655] - logger.py] - INFO: test_001 pass
[2019-10-10 19:59:57,655] - logger.py] - INFO: 开始执行test_002
[2019-10-10 19:59:57,780] - logger.py] - INFO: 开始执行test_003
[2019-10-10 19:59:57,983] - logger.py] - INFO: 开始执行test_004
[2019-10-10 19:59:58,218] - logger.py] - INFO: test_004pass
[2019-10-10 19:59:58,218] - logger.py] - INFO: 开始执行test_005
[2019-10-10 19:59:58,843] - logger.py] - INFO: test_004 pass
[2019-10-10 19:59:58,858] - logger.py] - INFO: 开始执行test_006
[2019-10-10 20:00:13,975] - logger.py] - INFO: 开始执行test_001
[2019-10-10 20:00:16,029] - logger.py] - INFO: test_001 pass
[2019-10-10 20:00:16,029] - logger.py] - INFO: 开始执行test_002
[2019-10-10 20:00:16,201] - logger.py] - INFO: test_002 pass
[2019-10-10 20:00:16,216] - logger.py] - INFO: 开始执行test_003
[2019-10-10 20:00:16,341] - logger.py] - INFO: 开始执行test_004
[2019-10-10 20:00:16,451] - logger.py] - INFO: test_004 pass
[2019-10-10 20:00:16,451] - logger.py] - INFO: 开始执行test_005
[2019-10-10 20:00:16,560] - logger.py] - INFO: test_005 pass
[2019-10-10 20:00:16,560] - logger.py] - INFO: 开始执行test_006
[2019-10-10 20:00:17,478] - logger.py] - INFO: test_006 pass
[2019-10-10 20:00:17,482] - logger.py] - INFO: 开始执行test_007
[2019-10-10 20:00:17,637] - logger.py] - INFO: test_007 pass
[2019-10-10 20:00:17,642] - logger.py] - INFO: 开始执行test_008
[2019-10-10 20:00:18,764] - logger.py] - INFO: test_008 pass
[2019-10-10 20:00:18,770] - logger.py] - INFO: 开始执行test_009
[2019-10-10 20:00:18,878] - logger.py] - INFO: test_009 pass
[2019-10-10 20:00:18,882] - logger.py] - INFO: 开始执行test_010
[2019-10-10 20:00:18,984] - logger.py] - INFO: test_010 pass
